file,algorithm,colors_used,time_ms
g_n100_k2_0.edges,firstfit,3,0.387
g_n100_k2_0.edges,cbip,4,16.0861
g_n100_k2_0.edges,firstfit_luf,4,0.3557
g_n100_k2_1.edges,firstfit,4,0.3777
g_n100_k2_1.edges,cbip,3,16.5036
g_n100_k2_1.edges,firstfit_luf,3,0.351
g_n100_k2_10.edges,firstfit,6,0.3958
g_n100_k2_10.edges,cbip,3,15.6574
g_n100_k2_10.edges,firstfit_luf,2,0.3774
g_n100_k2_11.edges,firstfit,5,0.3834
g_n100_k2_11.edges,cbip,3,15.7256
g_n100_k2_11.edges,firstfit_luf,4,0.3746
g_n100_k2_12.edges,firstfit,4,0.3822
g_n100_k2_12.edges,cbip,2,15.4884
g_n100_k2_12.edges,firstfit_luf,7,0.3533
g_n100_k2_13.edges,firstfit,6,0.3738
g_n100_k2_13.edges,cbip,3,15.8823
g_n100_k2_13.edges,firstfit_luf,7,0.3572
g_n100_k2_14.edges,firstfit,4,0.3624
g_n100_k2_14.edges,cbip,4,15.8665
g_n100_k2_14.edges,firstfit_luf,4,0.3524
g_n100_k2_15.edges,firstfit,2,0.3455
g_n100_k2_15.edges,cbip,2,14.8985
g_n100_k2_15.edges,firstfit_luf,4,0.3459
g_n100_k2_16.edges,firstfit,6,0.3722
g_n100_k2_16.edges,cbip,4,15.6701
g_n100_k2_16.edges,firstfit_luf,3,0.3521
g_n100_k2_17.edges,firstfit,4,0.3514
g_n100_k2_17.edges,cbip,4,15.1093
g_n100_k2_17.edges,firstfit_luf,3,0.3424
g_n100_k2_18.edges,firstfit,6,0.3777
g_n100_k2_18.edges,cbip,4,16.6469
g_n100_k2_18.edges,firstfit_luf,2,0.3552
g_n100_k2_19.edges,firstfit,3,0.3581
g_n100_k2_19.edges,cbip,4,15.9228
g_n100_k2_19.edges,firstfit_luf,3,0.3529
g_n100_k2_2.edges,firstfit,8,0.3681
g_n100_k2_2.edges,cbip,3,15.1253
g_n100_k2_2.edges,firstfit_luf,3,0.3481
g_n100_k2_20.edges,firstfit,2,0.3603
g_n100_k2_20.edges,cbip,3,16.006
g_n100_k2_20.edges,firstfit_luf,2,0.3493
g_n100_k2_21.edges,firstfit,5,0.3617
g_n100_k2_21.edges,cbip,3,15.708
g_n100_k2_21.edges,firstfit_luf,2,0.3693
g_n100_k2_22.edges,firstfit,6,0.3715
g_n100_k2_22.edges,cbip,2,15.9914
