Algorithm,k,n,N,rho(Alg),SD(rho(Alg)),time_taken
FirstFit,2,100,100,1.38,0.6407807737440318,0.17983779218047857
CBIP,2,100,100,1.25,0.3905124837953327,1.4754233751446009
FirstFit,3,100,100,1.5633333333333328,0.7523223304467899,0.250473958440125
FirstFit,4,100,100,1.7075,0.7722167765595358,0.2364920424297452
FirstFit,5,100,100,1.678,0.7154830536078405,0.25340279191732407
FirstFit,2,1600,100,1.79,1.6780643611018022,53.31647349987179
CBIP,2,1600,100,1.24,0.40298883359219767,5079.763135291636
FirstFit,3,1600,100,2.5566666666666675,2.5746866044455023,71.15748025011271
FirstFit,4,1600,100,3.09,3.298014554243204,79.90842737443745
FirstFit,5,1600,100,3.539999999999998,3.6088225226519524,87.15973574947566
FirstFit,2,200,100,1.425,0.7980444849756184,0.6529222074896097
CBIP,2,200,100,1.29,0.40730823708832603,10.226701208390296
FirstFit,3,200,100,1.6966666666666668,0.9719339255091138,0.8173865834251046
FirstFit,4,200,100,1.9825,1.0984392336401683,0.9225619584321976
FirstFit,5,200,100,2.041999999999999,1.0860184160501147,0.984475958161056
FirstFit,2,400,100,1.555,1.0580524561665172,2.4473580000922084
CBIP,2,400,100,1.29,0.4011234224026316,76.288783040829
FirstFit,3,400,100,2.1366666666666676,1.5463900614729202,3.203609458170831
FirstFit,4,400,100,2.275,1.5797547277979578,3.6855457089841366
FirstFit,5,400,100,2.4299999999999984,1.680089283341811,3.970691374503076
FirstFit,2,50,100,1.305,0.4737879272417143,0.04779220838099718
CBIP,2,50,100,1.23,0.349428104193123,0.23489375039935112
FirstFit,3,50,100,1.38,0.5055689863905816,0.0665600411593914
FirstFit,4,50,100,1.475,0.5043560250458003,0.06909845769405365
FirstFit,5,50,100,1.4600000000000002,0.452990066116245,0.07359158247709274
FirstFit,2,800,100,1.705,1.3731259956755608,11.361836833879352
CBIP,2,800,100,1.31,0.422965719651132,615.5793931670487
FirstFit,3,800,100,2.1933333333333334,1.8691531059100892,16.770983457565308
FirstFit,4,800,100,2.8075,2.4093191465640245,18.925472083501518
FirstFit,5,800,100,2.937999999999999,2.4389661744271898,20.394147999584675
